City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Lebu,CL,-37.6167,-73.65,66.11,72,87,12.8,overcast clouds
216,La Ronge,CA,55.1001,-105.2842,5.25,85,75,4.61,broken clouds
217,Buenos Aires,AR,-34.6132,-58.3772,80.01,34,0,9.22,clear sky
218,Coquimbo,CL,-29.9533,-71.3436,69.44,69,8,7.9,clear sky
219,Longyearbyen,SJ,78.2186,15.6401,13.84,92,75,2.3,light snow
220,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,70,5,5.79,clear sky
221,Brewster,US,41.3973,-73.6171,32.45,75,100,8.05,overcast clouds
222,Havoysund,NO,70.9963,24.6622,22.08,85,100,10.2,light snow
223,Raudeberg,NO,61.9875,5.1352,41.67,94,100,5.01,moderate rain
224,Saint George,US,37.1041,-113.5841,67.53,23,0,1.99,clear sky
225,Bathsheba,BB,13.2167,-59.5167,75.81,88,75,9.22,broken clouds
226,Bundaberg,AU,-24.85,152.35,68.29,93,1,8.05,clear sky
227,Santiago Del Estero,AR,-27.7951,-64.2615,85.86,19,0,8.03,clear sky
228,Mehamn,NO,71.0357,27.8492,21.38,79,0,23.02,light snow
229,Santiago,CL,-33.4569,-70.6483,87.28,29,0,12.66,clear sky
230,Port Hardy,CA,50.6996,-127.4199,43.75,93,75,3.44,broken clouds
231,Narsaq,GL,60.9167,-46.05,28.62,91,100,7.72,overcast clouds
232,Vlore,AL,40.4667,19.4897,51.55,78,11,1.54,few clouds
233,Farafangana,MG,-22.8167,47.8333,76.41,88,2,4.56,clear sky
234,Bonavista,CA,48.6499,-53.1147,44.11,69,100,15.14,overcast clouds
235,Faanui,PF,-16.4833,-151.75,80.92,75,100,15.46,light rain
236,Vestmannaeyjar,IS,63.4427,-20.2734,32.99,80,20,28.77,few clouds
237,Fort-Shevchenko,KZ,44.5086,50.263,35.42,64,12,15.59,few clouds
238,Biak,ID,-0.9131,122.8766,75.16,85,100,2.77,overcast clouds
239,Khorramabad,IR,33.4878,48.3558,47.82,53,0,6.91,clear sky
240,Krasnoselkup,RU,65.7,82.4667,-2.6,92,51,12.55,broken clouds
241,Soderhamn,SE,61.3037,17.0592,40.39,76,100,11.16,overcast clouds
242,Mangan,IN,27.5167,88.5333,50.38,51,3,6.33,clear sky
243,Smithers,CA,54.7804,-127.1743,26.92,93,100,2.3,overcast clouds
244,Reyes,BO,-14.3167,-67.3833,76.73,83,100,1.39,overcast clouds
245,Gizo,SB,-8.103,156.8419,80.55,79,74,4.5,moderate rain
246,Seoul,KR,37.5683,126.9778,33.24,84,0,2.3,clear sky
247,Hvide Sande,DK,56.0045,8.1294,39.99,77,100,28.39,overcast clouds
248,Koforidua,GH,6.0941,-0.2591,82.89,91,100,8.43,heavy intensity rain
249,Copiapo,CL,-27.3667,-70.3333,83.75,32,20,11.7,few clouds
250,Sorong,ID,-0.8833,131.25,78.17,84,100,6.76,overcast clouds
251,Kaitangata,NZ,-46.2817,169.8464,50.94,90,21,3.09,few clouds
252,Cravo Norte,CO,6.3017,-70.2041,92.88,30,16,13.4,few clouds
253,Thompson,CA,55.7435,-97.8558,-7.44,71,100,6.91,overcast clouds
254,Inuvik,CA,68.3499,-133.7218,-26.54,68,75,4.61,broken clouds
255,Saint-Philippe,RE,-21.3585,55.7679,80.19,87,33,8.28,scattered clouds
256,Pavlodar,KZ,52.3,76.95,6.6,85,75,13.42,broken clouds
257,Waingapu,ID,-9.6567,120.2641,77.61,87,78,3.76,broken clouds
258,Henderson,US,36.0397,-114.9819,70.11,17,0,3.44,clear sky
259,Olafsvik,IS,64.8945,-23.7142,27.72,92,100,9.04,light snow
260,Fort Nelson,CA,58.8053,-122.7002,-2.61,78,75,3.44,broken clouds
261,Udachnyy,RU,66.4167,112.4,-21.95,95,48,1.52,scattered clouds
262,Rundu,NA,-17.9333,19.7667,69.82,77,16,5.14,few clouds
263,Eenhana,NA,-17.4667,16.3333,76.75,86,100,2.55,light rain
264,Oranjemund,NA,-28.55,16.4333,66.94,78,0,12.46,clear sky
265,Anadyr,RU,64.75,177.4833,-30.5,75,0,8.95,clear sky
266,Krasnoarmeysk,RU,51.0239,45.6969,24.3,90,91,17.43,overcast clouds
267,Conakry,GN,9.538,-13.6773,86.07,66,7,13.8,haze
268,Filadelfia,US,39.9523,-75.1638,35.11,91,100,6.91,snow
269,Salamiyah,SY,35.0113,37.0532,50.52,63,0,8.23,clear sky
270,Touros,BR,-5.1989,-35.4608,88.7,66,8,13.13,clear sky
271,Innisfail,AU,-17.5333,146.0333,75.38,81,61,8.21,moderate rain
272,Asuncion,PY,-25.3007,-57.6359,89.04,45,0,9.22,clear sky
273,Kogon,UZ,39.7228,64.5517,35.64,69,0,4.61,clear sky
274,Imbituba,BR,-28.24,-48.6703,85.89,64,18,13.44,few clouds
275,Adrar,MR,20.5022,-10.0711,68.4,17,10,10.33,clear sky
276,Niquelandia,BR,-14.4739,-48.4597,72.61,90,100,2.46,overcast clouds
